benchmark,size,source_file,mean,mean_lb,mean_ub,mean_se,median,median_lb,median_ub,median_se,slope,slope_lb,slope_ub,slope_se,std_dev,std_dev_lb,std_dev_ub,std_dev_se,median_abs_dev,median_abs_dev_lb,median_abs_dev_ub,median_abs_dev_se
mul,1088,REDACTED/arkworks/target/criterion/mul 1088/new/estimates.json,317.387799809867,317.20106726017633,317.5814455057631,0.09664125949885329,317.3483625151094,317.22499704506697,317.5582569639146,0.07660195700595038,317.42717365250667,317.243532387139,317.60262303758225,0.09214946625419093,0.978629212803436,0.7497995716185162,1.19507831437509,0.11306968305369725,0.688298745352424,0.5761644095003299,0.8855832948497911,0.08034989649833797
mul,1152,REDACTED/arkworks/target/criterion/mul 1152/new/estimates.json,366.4174422216695,366.3046924024533,366.53060567968737,0.05734585344768398,366.4351449013475,366.3473415370327,366.5978469512716,0.07634675660871544,366.37384669060884,366.25999780561943,366.4870550739128,0.058141367532530644,0.5758276990456753,0.47281164785368807,0.6696525647196429,0.05052414569411721,0.47668584109542894,0.354791351137159,0.5925048043643719,0.05953854794101988
mul,1216,REDACTED/arkworks/target/criterion/mul 1216/new/estimates.json,409.71707237271636,409.48649330755495,409.92210416090995,0.11095142907861,409.853994205298,409.7064087517814,410.0638620437394,0.09262868440318064,409.714195279096,409.534208824216,409.8794953172418,0.08903990650324022,1.115582733200881,0.7975116690449953,1.471680070322012,0.1816484506327351,0.7679046583454014,0.586850838039683,0.9744952971891786,0.1045169776676093
mul,1280,REDACTED/arkworks/target/criterion/mul 1280/new/estimates.json,454.5813275502055,454.542076650305,454.6292148674623,0.022377550473343534,454.5372027034301,454.51869418112886,454.5631444727797,0.012056221675333757,454.57207183473474,454.5346669767834,454.61679982335176,0.021091857828695496,0.22164231099618426,0.12066502151846349,0.31924334935093085,0.05325589328186561,0.09791803716361541,0.06934344878353921,0.11821143840913916,0.013027291840476785
mul,1344,REDACTED/arkworks/target/criterion/mul 1344/new/estimates.json,512.1034355238485,512.032721067262,512.1773911773657,0.03688054447639512,512.0616267785499,511.97680005618827,512.1757735490276,0.050319239116772586,512.1315209236021,512.0660448721883,512.1990186152898,0.03387584534843598,0.37002190553746817,0.2964071259022063,0.44604067877624104,0.03892033270160668,0.30672799154454383,0.24324430821455606,0.4013018874741572,0.040223768758646465
mul,1408,REDACTED/arkworks/target/criterion/mul 1408/new/estimates.json,622.9885925820042,622.5950061898636,623.3728568897742,0.1967878630960038,622.9992202444175,622.4851583805329,623.4668982047837,0.24659385947773546,623.0319657022106,622.6628199356816,623.3982529830951,0.1859954196996278,1.982342399691616,1.7096742722162255,2.2319131149191236,0.13409877973259296,2.1203635296222854,1.6966237143723817,2.5502596868785656,0.21424235856480642
mul,1472,REDACTED/arkworks/target/criterion/mul 1472/new/estimates.json,831.5453077965467,831.3347130612038,831.7481332704172,0.10481857932287446,831.499837535014,831.4144399531965,831.7367247881954,0.08797969362888534,831.6063999811245,831.4602444468848,831.7545779208704,0.07520358551324961,1.052514780863389,0.7892140257453304,1.3102898853537424,0.13409974913843403,0.6847072651549903,0.512717955603291,0.909678620969612,0.09803990195160157
mul,1536,REDACTED/arkworks/target/criterion/mul 1536/new/estimates.json,911.1478493785967,910.9560587717285,911.34792647609,0.09979090377316402,911.0062586753168,910.7917592768993,911.3315348756906,0.12816068666089003,911.1647715990367,910.9964277885128,911.3402633022058,0.08744472494947973,1.0053194382999018,0.8027384842259951,1.2027646662614686,0.10358631082387668,1.0454803564508468,0.8317611679972416,1.2097743391819762,0.09560734884974721
mul,1600,REDACTED/arkworks/target/criterion/mul 1600/new/estimates.json,1000.462850117904,1000.4489492536098,1000.4789959939563,0.007611721192380814,1000.4489572637515,1000.4448822100578,1000.4545261029216,0.0022439052003096916,1000.45684771589,1000.4480383007639,1000.4678129502449,0.005063743379992094,0.0769519384704568,0.04712677044387986,0.10310378706543426,0.014348741228609954,0.025131378374678413,0.01741887219826475,0.037459402772836076,0.004975197626660686
mul,1664,REDACTED/arkworks/target/criterion/mul 1664/new/estimates.json,1083.1283154618607,1083.1117338879412,1083.1490654152256,0.009667756234248667,1083.1134109924058,1083.1098153305484,1083.1233979368553,0.0034970291972455285,1083.1281349572953,1083.117483224263,1083.1406721800624,0.005933764086263163,0.09689521802371955,0.04957813286348929,0.14621908651940463,0.028557442059518986,0.03189055386738959,0.02432085925920328,0.041943023918661455,0.004250185049346328
